id;description;def
True_aug_1;Einfach nur abartig dieses Dreckspack;True
True_aug_2;es ist zum kotzen,,,PERVERSE KINDERFICKER ,, man muss die mit allen Mitteln bekämpfen ,,,;True
True_aug_3;Du bist ein unerträglicher Hurensohn! Genau wie der Rest deiner braunen Sorte;True
True_aug_4;Du bist eine verdammte Schande, Handtuchkopf;True
True_aug_5;Muslime wie ich sind Dreck? schau in den Spiegel! Schlitzaugenfresse;True
True_aug_6;Ich hasse dich verdammt noch mal, du riechst nach Scheiße. Wieder einmal bist du ein Paki, also war es zu erwarten;True
True_aug_7;Diese Frauen sind einfach Huren. Sie verabscheuen unsere Rasse.;True
True_aug_8;"????
Was für hurensöhne";True
True_aug_9;"Bedankt euch bei der geisteskranken Merkel...ohne diese ""Volksvertreterin"" wäre der Stein erst gar nicht ins Rollen gekommen...wenigstens nicht so extremst !!!  Aber Sie ist sich ihrer Schuld garantiert schon bewußt,und macht nur noch gute Mine zum bösen Spiel und wird hoffentlich bald auch zur Rechenschaft gezogen !!";True
True_aug_10;Diese verdammte Frau ist verdammt nutzlos;True
True_aug_11;Hör auf zu reden, du verdammter Nigger!;True
True_aug_12;Die neonazis haben schon recht mit dem was sie machen diese drecksausländer gehören vergaast man kann nicht mal mer mit seiner freundin einkaufen gehen ohne das 2dreckstürken einen am eingang dumm anmachen asozial ist sowas un der staat macht nix AUSLÄNDER RAUS!!!!!!!!!!!!!!!;True
True_aug_13;Gibt es jemanden, der dümmer ist als dieser Idiot? Typisch Kanacke;True
True_aug_14;Flüchtlinge und Asylanten sind perverse Kinderschänder!;True
True_aug_15;Scheiß Islam;True
True_aug_16;Muslime sind abscheulich;True
True_aug_17;"118a6ea23f9479d1 du bist ein wiederlicher dummer hirnloser schwaetzer man sollte dich aus dem sozialen netzwerk rausschmeisen und dich in den knast stecken nur mit wasser und brot idiot!!!!!!!!!!!!""";True
True_aug_18;"Der deutsche ist so Sau dumm das ers genau so verdient hat !!! Und wenn keine Migranten da sind wird gegen den Nachbarn gehetzt...Hetz Hetz Hetz...und jemand der nicht Arbeitet ist auch gleich Asozial Genau SO habt ihr die Welt über Jahre gewollt. Jetzt kommen einige Menschen her denen auch noch andere Dinge als Hetzen und Arbeiten lieb sind. Sehr Interessant. Statts das ihr jetzt für verbesserungen von Jedermann Demonstriert wird das gleiche gemacht wie vorher..nur diesmal gegen die Flüchtlinge. Ihr fahrt euch selbst gegen die Wand. Dummvolk bleibt Dummvolk ;-)";True
True_aug_19;"Ist das hier ein Haufen feiger Salonnazis und frustrierter Fremdenhasser. Selber haben wir alle nicht einmal ansatzweise eine Ahnung, was es bedeutet wirklich Angst um sein Leben und das seiner Angehörigen zu haben. 
Aber dafür kann sich ja man aus seiner deutsch-nationalistischen Komfortzone über Flüchtlinge echauffieren. Beim Anblick dieses widerlichen, zynischen Bildes, das nicht nur das Leid der Bürgerkriegsflüchtlinge und -opfer verhöhnt, sondern auch die Berufs-Soldaten der Bundeswehr für einen angeblichen ""Wir-gegen-euch"" Kulturkampf instrumentalisieren soll, wird mir schlecht.
Ich weiß nicht wer oder was sich diese Mär vom ""Patriotismus"" ausgedacht hat, aber in solchen Momenten schäme ich mich, dass unsere Sprache und Kultur von selbst erklärten ""Rettern des Okzidents"" für dermaßen abstoßende Mittel missbraucht wird.";True
True_aug_20;Unglaublich, was für ausländerfeindliche Kommentare man immer wieder zu lesen bekommt und unglaublich, wieviel Nazi noch in vielen Deutschen drinsteckt.;True
True_aug_21;Alle Deutsch-Analphabeten die in der Geburtslotterie die Super 6 gezogen haben und denken sie würden Deutschland was bringen. Peinlich seid ihr, ich kenn viele Syrer die besser Deutsch können als ihr.;True
True_aug_22;"Was soll ich sagen, scheiß einfach auf deinen Himmel und dein Leben nach dem Tod. Wenn es einen Gott gibt und er die Menschen belohnt, die dieser Redner gerade beschrieben hat, dann ist Ihr Gott keiner Anbetung würdig. Ich werde mit Freude in die Hölle fahren, weil ich weiß, dass ich überlebt habe
ein Leben voller Freundlichkeit und Mitgefühl für alle Menschen und das Leben, anstatt andere zu verletzen und nur zu beten, um meine Taten wiedergutzumachen";True
True_aug_23;Wer unsere Gastfreundschaft mißbraucht, verliert damit auch seinen Anspruch auf Asyl und hat sofort abgeschoben zu werden, egal wohin.  Von mir aus kann dafür eine Insel im Mittelmeer aufgeschüttet werden.  ;True
True_aug_24;So ein wichser ! Sorry für den ausdruck ❗️ danke merkel für die drecksviecher ❗️❗️;True
True_aug_25;Frau, du bist so ein Arschloch! Klassische Frauen;True
True_aug_26;"Dreckschweine....!Und sie werden noch in Watte gepackt! Ja Fr.Merkel""Scheisse wenn man sein Eigenes Volk Hasst""!!!";True
True_aug_27;Dreck ist Dreck mehr kommt eh nicht.;True
True_aug_28;Frauen die sich nicht freiwillig von Flüchtlingen ficken lassen sind sind ein Verstoß gegen die Menschenwürde. #Hungerstreik #Rapefugees;True
True_aug_29;@USER Ekelhaftes Nazipack!;True
True_aug_30;Einfach nur perverse Schweine!;True
True_aug_31;Diese elenden Verbrecher!!! Ich hasse die so sehr!!;True
True_aug_32;@USER Ekelhafte Nazis!;True
True_aug_33;Die jüdische Gemeinschaft ist schmutziger als Scheiße!;True
True_aug_34;Normal kommen immer als Clan diese Dreckschweine raus mit dem Dreck;True
True_aug_35;"Wann kapiert ihr es endlich? Das deutsche Volk wird systematisch zerstört. Alleine diese komplett Scheiße mit dem Freihandelsabkommen... Es wird Geld in Dinge Investiert wie Griechenland ohne das wir richtig gefragt wurden. Wir haben kein Geld für Förderungen Kitas oder Alte. Aber pumpen Milliarden in Asyl Politik! 

Wieso bekommen wir deutsche so wenige Kinder? RICHTIG! Weil kein Geld für uns über bleibt. Wir haben eine so dermaßen starke Wirtschaft das Bildung und Förderungen kein Problem darstellen dürfte! Ordentliche Integration der Arbeitssuchenden bsp. Aber anstatt das eigene Volk abzusichern wird das Geld in den Rachen anderer gesteckt die hier nichts zu suchen haben. Solange der deutsche Still bleibt ist ja alles gut. Macht man die Fresse auf ist man Anti Menschlich oder ein Nazi! Dann soll das halt so sein. Ich sehe wenigstens die Ausmaße die unsere Politik hervorruft. 

Falsche Politik die sich Demokratie nennt und handelt wie eine moderne Diktatur!  USA Arschkriecher.";True
True_aug_36;Habt doch alle selber schuld! Jahrelang CDU,SPD,Grüne wählen und jetzt jammern. Nix hat die Blödheit des Volkes aufgehalten weder Hartz4,Euro,Billiglohn noch Zeitarbeit. Jetzt bekommt dieses blöde Volk seine Quittung! Jetzt weiß ich wie die Stimmung zum Ende des Krieges war.Findet euch damit ab die BRD ist Geschichte!LINK;True
True_aug_37;Ältere Menschen sind einfach nur alte Scheiße;True
True_aug_38;Es ist schwer zu leugnen, dass alte Menschen böse sind;True
